,lr,n_split,random_sees,hidden_size,num_layer,weight_physic,Trainable_Params,epoch,train_rMSE,validation_rMSE,test_rMSE,train_shapeDTW,validation_shapeDTW,test_shapeDTW,predicted_r,predicted_y_max,smooth_alpha,ode_int,l2,genotype
0,0.001,0,1,3,1,2,111,2930,0.025,0.064,0.077,0.096,0.146,0.104,0.3353955149650574,0.8080148100852966,,False,1.0,106
0,0.001,0,2,3,1,2,111,1790,0.04,0.082,0.089,0.136,0.196,0.097,0.3437749445438385,0.7796831727027893,,False,1.0,106
0,0.001,0,3,3,1,2,111,2700,0.037,0.073,0.107,0.122,0.183,0.099,0.341272622346878,0.7836892604827881,,False,1.0,106
0,0.001,0,4,3,1,2,111,2620,0.027,0.058,0.077,0.104,0.149,0.099,0.3366228938102722,0.8049843907356262,,False,1.0,106
0,0.001,0,5,3,1,2,111,2990,0.025,0.056,0.08,0.098,0.143,0.094,0.33555868268013,0.8075939416885376,,False,1.0,106
0,0.001,0,1,5,1,2,215,1530,0.024,0.058,0.029,0.082,0.127,0.069,0.3849958777427673,0.6588223576545715,,False,1.0,122
0,0.001,0,2,5,1,2,215,2960,0.023,0.053,0.047,0.08,0.128,0.078,0.3886922299861908,0.6528913378715515,,False,1.0,122
0,0.001,0,3,5,1,2,215,2010,0.03,0.047,0.039,0.084,0.133,0.061,0.3899902403354645,0.6513940095901489,,False,1.0,122
0,0.001,0,4,5,1,2,215,2110,0.022,0.042,0.035,0.077,0.122,0.071,0.3922865688800812,0.655013918876648,,False,1.0,122
0,0.001,0,5,5,1,2,215,1550,0.022,0.049,0.041,0.077,0.14,0.078,0.3867663145065307,0.6614787578582764,,False,1.0,122
0,0.001,0,1,5,1,2,215,1510,0.027,0.046,0.038,0.087,0.086,0.082,0.3717042505741119,0.7268297076225281,,False,1.0,133
0,0.001,0,2,5,1,2,215,2480,0.027,0.041,0.054,0.09,0.091,0.096,0.3762228786945343,0.7195190787315369,,False,1.0,133
0,0.001,0,3,5,1,2,215,2780,0.027,0.039,0.049,0.09,0.08,0.09,0.3750811219215393,0.7250890135765076,,False,1.0,133
0,0.001,0,4,5,1,2,215,2590,0.024,0.035,0.07,0.085,0.082,0.086,0.3806453943252563,0.7182197570800781,,False,1.0,133
0,0.001,0,5,5,1,2,215,1560,0.027,0.04,0.046,0.088,0.106,0.097,0.3735512495040893,0.7319692373275757,,False,1.0,133
0,0.001,0,1,3,1,9,111,2990,0.022,0.082,0.036,0.088,0.089,0.104,0.3022736012935638,0.809748113155365,,False,0.1,17
0,0.001,0,2,3,1,9,111,1870,0.035,0.079,0.032,0.128,0.105,0.106,0.2987018525600433,0.8134467005729675,,False,0.1,17
0,0.001,0,3,3,1,9,111,2270,0.04,0.04,0.04,0.117,0.09,0.11,0.2921409904956817,0.8282661437988281,,False,0.1,17
0,0.001,0,4,3,1,9,111,1620,0.021,0.065,0.033,0.085,0.092,0.109,0.2980517446994781,0.8479498028755188,,False,0.1,17
0,0.001,0,5,3,1,9,111,2570,0.021,0.083,0.035,0.089,0.085,0.111,0.3003671169281006,0.8384395837783813,,False,0.1,17
0,0.001,0,1,5,1,2,215,1500,0.016,0.031,0.045,0.062,0.086,0.073,0.4072069525718689,0.7091543078422546,,False,0.1,218
0,0.001,0,2,5,1,2,215,2920,0.018,0.036,0.04,0.068,0.084,0.074,0.4176898300647735,0.6842779517173767,,False,0.1,218
0,0.001,0,3,5,1,2,215,1570,0.018,0.035,0.085,0.072,0.087,0.063,0.4087970852851867,0.703307569026947,,False,0.1,218
0,0.001,0,4,5,1,2,215,1850,0.018,0.033,0.069,0.069,0.087,0.067,0.4124009907245636,0.7063944935798645,,False,0.1,218
0,0.001,0,5,5,1,2,215,1580,0.019,0.033,0.059,0.074,0.084,0.071,0.4076023995876312,0.7064740061759949,,False,0.1,218
0,0.001,0,1,3,1,2,111,2960,0.02,0.042,0.039,0.075,0.088,0.069,0.3563914895057678,0.6270037889480591,,False,1.0,254
0,0.001,0,2,3,1,2,111,1500,0.016,0.06,0.028,0.064,0.098,0.065,0.354950487613678,0.6450847387313843,,False,1.0,254
0,0.001,0,3,3,1,2,111,1500,0.025,0.038,0.043,0.078,0.094,0.054,0.3574804961681366,0.6203198432922363,,False,1.0,254
0,0.001,0,4,3,1,2,111,1530,0.019,0.038,0.037,0.074,0.094,0.066,0.3545229732990265,0.6481118202209473,,False,1.0,254
0,0.001,0,5,3,1,2,111,1860,0.025,0.044,0.016,0.074,0.092,0.053,0.3565493822097778,0.6267677545547485,,False,1.0,254
0,0.001,0,1,3,1,2,111,2900,0.023,0.082,0.069,0.09,0.158,0.074,0.3425477743148803,0.7618540525436401,,False,1.0,282
0,0.001,0,2,3,1,2,111,2170,0.028,0.09,0.074,0.11,0.191,0.065,0.3435873687267303,0.7592054009437561,,False,1.0,282
0,0.001,0,3,3,1,2,111,1910,0.03,0.083,0.086,0.113,0.186,0.064,0.3463203310966491,0.7484329342842102,,False,1.0,282
0,0.001,0,4,3,1,2,111,1600,0.027,0.071,0.079,0.106,0.158,0.078,0.3432322442531585,0.7681509852409363,,False,1.0,282
0,0.001,0,5,3,1,2,111,1550,0.025,0.079,0.079,0.096,0.156,0.065,0.3438379466533661,0.7633037567138672,,False,1.0,282
0,0.001,0,1,3,1,2,111,2160,0.039,0.065,0.098,0.13,0.141,0.087,0.3387788236141205,0.8001815676689148,,False,1.0,294
0,0.001,0,2,3,1,2,111,1500,0.051,0.077,0.093,0.162,0.177,0.075,0.3474502563476562,0.7843443155288696,,False,1.0,294
0,0.001,0,3,3,1,2,111,1520,0.047,0.066,0.1,0.151,0.162,0.073,0.34349325299263,0.7882254123687744,,False,1.0,294
0,0.001,0,4,3,1,2,111,2810,0.04,0.062,0.091,0.132,0.136,0.093,0.3372417390346527,0.8186218738555908,,False,1.0,294
0,0.001,0,5,3,1,2,111,2420,0.038,0.062,0.092,0.127,0.133,0.086,0.3378000557422638,0.8144972324371338,,False,1.0,294
0,0.001,0,1,3,1,2,111,2480,0.031,0.085,0.052,0.107,0.185,0.133,0.3459838628768921,0.7213426232337952,,False,1.0,2
