,genotype,predicted_r_val,predicted_y_max_val
0,106,0.36633232,0.9750191
1,122,0.36831853,0.77878225
2,133,0.36744702,0.88350713
3,17,0.36670002,0.9331198
4,2,0.3668707,0.94190556
5,218,0.36833122,0.76423544
6,254,0.36851743,0.7510817
7,282,0.3668286,0.92221946
8,294,0.36595988,1.0322224
9,30,0.36716524,0.9036974
10,301,0.36617693,0.99065375
11,302,0.3659119,1.0356115
12,33,0.36653733,0.9561122
13,335,0.36839917,0.76898944
14,339,0.36850837,0.7673882
15,341,0.368228,0.79476285
16,362,0.36594543,1.0319724
17,5,0.36723846,0.8945152
18,6,0.36563516,0.99483985
