,genotype,predicted_r_val,predicted_y_max_val
0,106,0.3708596,0.97381777
1,122,0.37111446,0.78068244
2,133,0.36803675,0.88734907
3,17,0.36846006,0.9281476
4,2,0.36775154,0.9445668
5,218,0.37092742,0.7600452
6,254,0.37054473,0.7466558
7,282,0.3695214,0.9166194
8,294,0.36730465,1.0323433
9,30,0.36904943,0.90602016
10,301,0.36704996,0.9897041
11,302,0.36605406,1.034035
12,33,0.36778417,0.9518572
13,335,0.3696977,0.7677402
14,339,0.36907634,0.7637556
15,341,0.36850053,0.79429567
16,362,0.36776274,1.0359876
17,5,0.36969236,0.8959357
18,6,0.3689403,0.999021
