,lr,n_split,random_sees,hidden_size,num_layer,weight_physic,Trainable_Params,epoch,train_rMSE,validation_rMSE,test_rMSE,train_shapeDTW,validation_shapeDTW,test_shapeDTW,predicted_r,predicted_y_max,smooth_alpha,ode_int,l2,genotype
0,0.001,0,1,3,1,2,111,2940,0.025,0.063,0.078,0.097,0.146,0.104,0.335376888513565,0.8079410195350647,,False,1.0,106
0,0.001,0,2,3,1,2,111,2320,0.035,0.084,0.093,0.125,0.189,0.095,0.3414089679718017,0.7868996262550354,,False,1.0,106
0,0.001,0,3,3,1,2,111,2670,0.034,0.076,0.102,0.121,0.183,0.098,0.3413260281085968,0.7833577394485474,,False,1.0,106
0,0.001,0,4,3,1,2,111,2950,0.027,0.057,0.077,0.102,0.146,0.097,0.3361526429653168,0.8072367906570435,,False,1.0,106
0,0.001,0,5,3,1,2,111,2950,0.026,0.06,0.077,0.099,0.144,0.095,0.3359148800373077,0.8078650236129761,,False,1.0,106
0,0.001,1,1,3,1,2,111,2980,0.025,0.12,0.088,0.084,0.175,0.15,0.3382623195648193,0.8088904023170471,,False,1.0,106
0,0.001,1,2,3,1,2,111,2860,0.028,0.083,0.107,0.091,0.134,0.189,0.3403364717960357,0.7975305914878845,,False,1.0,106
0,0.001,1,3,3,1,2,111,1620,0.027,0.137,0.078,0.09,0.183,0.155,0.3406897485256195,0.8000336289405823,,False,1.0,106
0,0.001,1,4,3,1,2,111,1850,0.028,0.08,0.068,0.097,0.151,0.16,0.341268390417099,0.8010680675506592,,False,1.0,106
0,0.001,1,5,3,1,2,111,1510,0.027,0.075,0.092,0.09,0.134,0.159,0.3409546911716461,0.7967389225959778,,False,1.0,106
0,0.001,2,1,3,1,2,111,1530,0.033,0.154,0.133,0.108,0.283,0.127,0.3524892628192901,0.7841824293136597,,False,1.0,106
0,0.001,2,2,3,1,2,111,1510,0.04,0.158,0.16,0.126,0.225,0.103,0.3528136014938354,0.8141850829124451,,False,1.0,106
0,0.001,2,3,3,1,2,111,1500,0.035,0.166,0.145,0.109,0.267,0.118,0.35120889544487,0.8293730020523071,,False,1.0,106
0,0.001,2,4,3,1,2,111,1650,0.037,0.157,0.147,0.121,0.237,0.113,0.350384384393692,0.822916567325592,,False,1.0,106
0,0.001,2,5,3,1,2,111,1530,0.036,0.211,0.197,0.116,0.264,0.135,0.3558135032653808,0.8129618167877197,,False,1.0,106
0,0.001,3,1,3,1,2,111,1550,0.026,0.196,0.149,0.098,0.134,0.167,0.3374348878860473,0.775043249130249,,False,1.0,106
0,0.001,3,2,3,1,2,111,1510,0.034,0.164,0.152,0.12,0.107,0.196,0.3440553843975067,0.7735146284103394,,False,1.0,106
0,0.001,3,3,3,1,2,111,2640,0.028,0.216,0.165,0.099,0.109,0.19,0.3391231298446655,0.7892529368400574,,False,1.0,106
0,0.001,3,4,3,1,2,111,1600,0.024,0.197,0.155,0.092,0.125,0.173,0.3392582833766937,0.7869537472724915,,False,1.0,106
0,0.001,3,5,3,1,2,111,2070,0.026,0.204,0.164,0.098,0.109,0.199,0.3394705653190613,0.7884829044342041,,False,1.0,106
0,0.001,4,1,3,1,2,111,1880,0.029,0.056,0.049,0.105,0.163,0.113,0.3402809798717499,0.7921504974365234,,False,1.0,106
0,0.001,4,2,3,1,2,111,2990,0.036,0.078,0.106,0.127,0.167,0.1,0.3341818451881408,0.8002418875694275,,False,1.0,106
0,0.001,4,3,3,1,2,111,2240,0.032,0.068,0.096,0.115,0.157,0.093,0.3338026702404022,0.8158200979232788,,False,1.0,106
0,0.001,4,4,3,1,2,111,1720,0.03,0.075,0.089,0.109,0.168,0.1,0.3361698687076568,0.814794659614563,,False,1.0,106
0,0.001,4,5,3,1,2,111,1990,0.043,0.064,0.08,0.136,0.152,0.089,0.3368003368377685,0.7911222577095032,,False,1.0,106
0,0.001,5,1,3,1,2,111,2990,0.027,0.083,0.063,0.094,0.234,0.154,0.3357226550579071,0.8227078914642334,,False,1.0,106
0,0.001,5,2,3,1,2,111,1510,0.027,0.174,0.092,0.097,0.353,0.159,0.3503221571445465,0.8058227300643921,,False,1.0,106
0,0.001,5,3,3,1,2,111,2980,0.027,0.051,0.104,0.091,0.175,0.214,0.3430954813957214,0.8278540372848511,,False,1.0,106
0,0.001,5,4,3,1,2,111,1520,0.029,0.18,0.109,0.105,0.215,0.209,0.3393978774547577,0.8145710229873657,,False,1.0,106
0,0.001,5,5,3,1,2,111,2990,0.024,0.174,0.17,0.087,0.302,0.114,0.3450603187084198,0.8353263735771179,,False,1.0,106
