,weight_physic,Trainable_Params,l2,ode_int,lr,hidden_size,num_layer,x_axis,validation_rMSE,train_rMSE,test_rMSE,train_shapeDTW,validation_shapeDTW,test_shapeDTW,predicted_r,predicted_y_max,n_split,validation_rMSE_std,train_rMSE_std,test_rMSE_std,train_shapeDTW_std,validation_shapeDTW_std,test_shapeDTW_std
1,2,111,1.0,False,0.001,3,1,W_2_TrP_111_l2_1.0_lr_0.001,0.081,0.026600000000000002,0.0774,0.10300000000000001,0.1698,0.0692,0.34390513300895686,0.7601894259452819,0.0,0.0068920243760451074,0.002701851217221258,0.006348228099241545,0.009695359714832655,0.01718138527593162,0.006379655163094633
9,9,111,1.0,False,0.001,3,1,W_9_TrP_111_l2_1.0_lr_0.001,0.08280000000000001,0.0262,0.0762,0.1016,0.1672,0.0686,0.28328107595443724,0.8033920288085937,0.0,0.00766159252375118,0.0024899799195977463,0.005630275304103694,0.00795612971236643,0.015610893632332519,0.006655824516917494
0,2,111,0.1,False,0.001,3,1,W_2_TrP_111_l2_0.1_lr_0.001,0.0872,0.0254,0.0736,0.0944,0.1648,0.0698,0.3924383044242859,0.8199774026870728,0.0,0.014584238067173757,0.004827007354458868,0.01045466403094809,0.014724129855444771,0.01298845641329254,0.008642916174532765
4,2,215,0.1,False,0.001,5,1,W_2_TrP_215_l2_0.1_lr_0.001,0.088,0.0228,0.06920000000000001,0.0884,0.1676,0.0716,0.3901273250579834,0.8443536639213562,0.0,0.017029386365926404,0.0016431676725154993,0.01089495295997188,0.008018728078691787,0.009370165420097977,0.00976217188949262
8,9,111,0.1,False,0.001,3,1,W_9_TrP_111_l2_0.1_lr_0.001,0.08919999999999999,0.0256,0.077,0.09659999999999999,0.164,0.0698,0.29908155798912045,0.8239736795425415,0.0,0.011798304963002104,0.004393176527297761,0.0151657508881031,0.012541929676090522,0.01290348790056395,0.009705668446840747
12,9,215,0.1,False,0.001,5,1,W_9_TrP_215_l2_0.1_lr_0.001,0.09140000000000001,0.023,0.0668,0.0884,0.1638,0.0696,0.2955570936203003,0.8511932849884033,0.0,0.016742162345408068,0.0015811388300841903,0.015722595205626837,0.007829431652425358,0.007694153624668519,0.003049590136395375
13,9,215,1.0,False,0.001,5,1,W_9_TrP_215_l2_1.0_lr_0.001,0.09280000000000001,0.0256,0.07880000000000001,0.0948,0.1678,0.0678,0.2924021303653717,0.8293953776359558,0.0,0.01602186006679624,0.002880972058177587,0.014463747785411638,0.0055407580708780315,0.008729261137118069,0.005585696017507574
5,2,215,1.0,False,0.001,5,1,W_2_TrP_215_l2_1.0_lr_0.001,0.09419999999999999,0.0246,0.06999999999999999,0.092,0.17099999999999999,0.0672,0.3710310459136963,0.8080596566200257,0.0,0.016223439832538596,0.0018165902124584955,0.014422205101855956,0.00897217922246318,0.008366600265340748,0.0061400325732035
6,2,455,0.1,False,0.001,5,2,W_2_TrP_455_l2_0.1_lr_0.001,0.096,0.0194,0.05500000000000001,0.0782,0.1496,0.0888,0.39163717031478884,0.855503261089325,0.0,0.007810249675906655,0.0013416407864998733,0.018748333259252674,0.004381780460041332,0.014046351839534702,0.012275992831539123
14,9,455,0.1,False,0.001,5,2,W_9_TrP_455_l2_0.1_lr_0.001,0.1004,0.0194,0.0602,0.077,0.1548,0.0862,0.29545773267745973,0.8563405871391296,0.0,0.015009996668887035,0.001341640786499875,0.01880691362238897,0.005385164807134509,0.01967739820199815,0.012676750372236567
10,9,207,0.1,False,0.001,3,2,W_9_TrP_207_l2_0.1_lr_0.001,0.1014,0.0222,0.0758,0.086,0.164,0.0658,0.29622445106506345,0.8440188288688659,0.0,0.012759310326189264,0.001483239697419132,0.021510462570572493,0.004999999999999997,0.006519202405202647,0.0036331804249169915
7,2,455,1.0,False,0.001,5,2,W_2_TrP_455_l2_1.0_lr_0.001,0.1024,0.0252,0.06699999999999999,0.09,0.1646,0.07239999999999999,0.3846902966499328,0.8311721920967102,0.0,0.017343586710943038,0.004764451699828639,0.02750454507895013,0.008888194417315589,0.01908664454533588,0.008502940667792521
2,2,207,0.1,False,0.001,3,2,W_2_TrP_207_l2_0.1_lr_0.001,0.11200000000000002,0.023,0.0538,0.08940000000000001,0.164,0.0692,0.3897626161575317,0.8427303791046142,0.0,0.022956480566497985,0.0010000000000000009,0.02374236719453223,0.003577708763999662,0.02056696380120313,0.0040249223594996195
15,9,455,1.0,False,0.001,5,2,W_9_TrP_455_l2_1.0_lr_0.001,0.11280000000000001,0.022600000000000002,0.0678,0.086,0.1646,0.0706,0.2969378530979156,0.8408241271972656,0.0,0.020253394777172546,0.0018165902124584953,0.0233173754955398,0.0054772255750516596,0.018676188047886,0.004827007354458869
11,9,207,1.0,False,0.001,3,2,W_9_TrP_207_l2_1.0_lr_0.001,0.11379999999999998,0.025,0.08159999999999999,0.0962,0.1714,0.072,0.29220383763313296,0.8263355731964112,0.0,0.0065345237010818145,0.0012247448713915898,0.014808781178746613,0.005263078946776309,0.007162401831787993,0.005431390245600107
3,2,207,1.0,False,0.001,3,2,W_2_TrP_207_l2_1.0_lr_0.001,0.1202,0.0246,0.0764,0.095,0.1744,0.0708,0.3683114647865295,0.8027312636375428,0.0,0.02210656011232865,0.0008944271909999161,0.012541929676090517,0.004301162633521316,0.007956129712366441,0.005449770637375483
