,learning_rate,epochs,n_split,random_sees,hidden_size,l2,num_layer,last_fc_hidden_size,genetics_embedding_size,trainable_parameters,physics_weight,y_max_bound,smooth_loss,train_rMSE,validation_rMSE,test_rMSE,train_shapeDTW,validation_shapeDTW,test_shapeDTW
0,0.001,2610,0,1,5,1.0,1,3,3,385,,False,False,0.038,0.067,0.067,0.107,0.14,0.097
0,0.001,2980,0,2,5,1.0,1,3,3,385,,False,False,0.033,0.099,0.036,0.097,0.134,0.081
0,0.001,1880,0,3,5,1.0,1,3,3,385,,False,False,0.034,0.077,0.056,0.11,0.141,0.096
0,0.001,2480,0,4,5,1.0,1,3,3,385,,False,False,0.038,0.082,0.052,0.114,0.139,0.078
0,0.001,2760,0,5,5,1.0,1,3,3,385,,False,False,0.042,0.067,0.071,0.117,0.146,0.115
0,0.001,1670,0,1,5,1.0,1,5,3,401,,False,False,0.037,0.095,0.049,0.107,0.135,0.082
0,0.001,1500,0,2,5,1.0,1,5,3,401,,False,False,0.049,0.078,0.102,0.135,0.133,0.107
0,0.001,2660,0,3,5,1.0,1,5,3,401,,False,False,0.035,0.071,0.057,0.106,0.143,0.093
0,0.001,1830,0,4,5,1.0,1,5,3,401,,False,False,0.041,0.065,0.07,0.116,0.143,0.096
0,0.001,2950,0,5,5,1.0,1,5,3,401,,False,False,0.031,0.09,0.062,0.101,0.125,0.104
0,0.001,1870,0,1,5,1.0,1,3,5,431,,False,False,0.034,0.074,0.07,0.106,0.132,0.097
0,0.001,1580,0,2,5,1.0,1,3,5,431,,False,False,0.043,0.072,0.067,0.125,0.153,0.126
0,0.001,1530,0,3,5,1.0,1,3,5,431,,False,False,0.032,0.101,0.038,0.097,0.143,0.079
0,0.001,1610,0,4,5,1.0,1,3,5,431,,False,False,0.046,0.067,0.068,0.122,0.147,0.094
0,0.001,1500,0,5,5,1.0,1,3,5,431,,False,False,0.035,0.069,0.08,0.106,0.119,0.094
0,0.001,2670,0,1,5,1.0,1,5,5,451,,False,False,0.034,0.069,0.065,0.102,0.131,0.087
0,0.001,2980,0,2,5,1.0,1,5,5,451,,False,False,0.035,0.086,0.042,0.104,0.137,0.081
0,0.001,2890,0,3,5,1.0,1,5,5,451,,False,False,0.034,0.067,0.063,0.1,0.136,0.096
0,0.001,2900,0,4,5,1.0,1,5,5,451,,False,False,0.035,0.07,0.071,0.101,0.133,0.094
0,0.001,1820,0,5,5,1.0,1,5,5,451,,False,False,0.035,0.087,0.047,0.106,0.131,0.079
