,learning_rate,epochs,n_split,random_sees,hidden_size,l2,num_layer,last_fc_hidden_size,genetics_embedding_size,trainable_parameters,physics_weight,y_max_bound,smooth_loss,train_rMSE,validation_rMSE,test_rMSE,train_shapeDTW,validation_shapeDTW,test_shapeDTW
0,0.001,2950,0,1,5,1.0,1,3,3,385,,False,False,0.044,0.071,0.06,0.125,0.153,0.09
0,0.001,2860,0,2,5,1.0,1,3,3,385,,False,False,0.032,0.085,0.048,0.1,0.132,0.086
0,0.001,1900,0,3,5,1.0,1,3,3,385,,False,False,0.035,0.073,0.06,0.11,0.146,0.1
0,0.001,2870,0,4,5,1.0,1,3,3,385,,False,False,0.037,0.065,0.069,0.113,0.14,0.082
0,0.001,2010,0,5,5,1.0,1,3,3,385,,False,False,0.038,0.072,0.06,0.112,0.152,0.105
0,0.001,2700,0,1,5,1.0,1,5,3,401,,False,False,0.036,0.098,0.047,0.104,0.138,0.082
0,0.001,1740,0,2,5,1.0,1,5,3,401,,False,False,0.04,0.091,0.062,0.117,0.142,0.09
0,0.001,2920,0,3,5,1.0,1,5,3,401,,False,False,0.035,0.068,0.061,0.104,0.142,0.096
0,0.001,1820,0,4,5,1.0,1,5,3,401,,False,False,0.06,0.056,0.093,0.133,0.148,0.112
0,0.001,1560,0,5,5,1.0,1,5,3,401,,False,False,0.04,0.079,0.071,0.116,0.131,0.1
0,0.001,2180,0,1,5,1.0,1,3,5,431,,False,False,0.034,0.073,0.068,0.106,0.135,0.099
0,0.001,1920,0,2,5,1.0,1,3,5,431,,False,False,0.042,0.077,0.068,0.124,0.155,0.111
0,0.001,1850,0,3,5,1.0,1,3,5,431,,False,False,0.034,0.076,0.048,0.104,0.144,0.084
0,0.001,1690,0,4,5,1.0,1,3,5,431,,False,False,0.036,0.084,0.062,0.109,0.144,0.094
0,0.001,1510,0,5,5,1.0,1,3,5,431,,False,False,0.03,0.087,0.05,0.094,0.129,0.086
0,0.001,1850,0,1,5,1.0,1,5,5,451,,False,False,0.038,0.077,0.056,0.109,0.149,0.091
0,0.001,2700,0,2,5,1.0,1,5,5,451,,False,False,0.034,0.086,0.041,0.104,0.138,0.08
0,0.001,2380,0,3,5,1.0,1,5,5,451,,False,False,0.033,0.069,0.061,0.099,0.139,0.096
0,0.001,2670,0,4,5,1.0,1,5,5,451,,False,False,0.034,0.072,0.074,0.101,0.131,0.097
0,0.001,1510,0,5,5,1.0,1,5,5,451,,False,False,0.03,0.088,0.055,0.097,0.134,0.098
