,learning_rate,epochs,n_split,random_sees,hidden_size,l2,num_layer,last_fc_hidden_size,genetics_embedding_size,trainable_parameters,physics_weight,y_max_bound,smooth_loss,train_rMSE,validation_rMSE,test_rMSE,train_shapeDTW,validation_shapeDTW,test_shapeDTW
0,0.001,2950,0,1,5,1.0,1,3,3,393,2,True,False,0.035,0.083,0.04,0.104,0.145,0.09
0,0.001,1690,0,2,5,1.0,1,3,3,393,2,True,False,0.04,0.074,0.064,0.118,0.145,0.097
0,0.001,2100,0,3,5,1.0,1,3,3,393,2,True,False,0.033,0.071,0.065,0.104,0.134,0.095
0,0.001,1500,0,4,5,1.0,1,3,3,393,2,True,False,0.037,0.083,0.068,0.115,0.145,0.105
0,0.001,2740,0,5,5,1.0,1,3,3,393,2,True,False,0.035,0.068,0.069,0.107,0.142,0.093
0,0.001,1840,0,1,5,1.0,1,5,3,409,2,True,False,0.045,0.074,0.081,0.127,0.16,0.113
0,0.001,1650,0,2,5,1.0,1,5,3,409,2,True,False,0.036,0.079,0.067,0.109,0.135,0.099
0,0.001,1530,0,3,5,1.0,1,5,3,409,2,True,False,0.039,0.074,0.063,0.116,0.144,0.091
0,0.001,2340,0,4,5,1.0,1,5,3,409,2,True,False,0.037,0.074,0.052,0.111,0.15,0.095
0,0.001,2650,0,5,5,1.0,1,5,3,409,2,True,False,0.042,0.056,0.051,0.121,0.154,0.106
0,0.001,1500,0,1,5,1.0,1,3,5,443,2,True,False,0.043,0.081,0.072,0.13,0.153,0.116
0,0.001,2330,0,2,5,1.0,1,3,5,443,2,True,False,0.036,0.084,0.048,0.106,0.136,0.089
0,0.001,2480,0,3,5,1.0,1,3,5,443,2,True,False,0.033,0.072,0.058,0.106,0.143,0.087
0,0.001,1680,0,4,5,1.0,1,3,5,443,2,True,False,0.035,0.099,0.045,0.107,0.145,0.089
0,0.001,1700,0,5,5,1.0,1,3,5,443,2,True,False,0.04,0.051,0.052,0.112,0.131,0.096
0,0.001,1720,0,1,5,1.0,1,5,5,463,2,True,False,0.032,0.07,0.069,0.103,0.128,0.098
0,0.001,2980,0,2,5,1.0,1,5,5,463,2,True,False,0.037,0.065,0.065,0.104,0.132,0.094
0,0.001,1820,0,3,5,1.0,1,5,5,463,2,True,False,0.034,0.064,0.063,0.104,0.126,0.08
0,0.001,2800,0,4,5,1.0,1,5,5,463,2,True,False,0.035,0.065,0.065,0.103,0.135,0.089
0,0.001,2720,0,5,5,1.0,1,5,5,463,2,True,False,0.034,0.085,0.041,0.101,0.134,0.08
