,lr,n_split,random_sees,hidden_size,num_layer,weight_physic,Trainable_Params,epoch,train_rMSE,validation_rMSE,test_rMSE,train_shapeDTW,validation_shapeDTW,test_shapeDTW,predicted_r,predicted_y_max,smooth_alpha,ode_int,l2
0,0.001,0,1,3,1,2,111,1650,0.024,0.041,0.041,0.093,0.09,0.069,0.3418178260326385,0.7369583249092102,,False,1.0
0,0.001,0,2,3,1,2,111,2180,0.028,0.048,0.037,0.106,0.105,0.07,0.3428129851818084,0.7343738675117493,,False,1.0
0,0.001,0,3,3,1,2,111,2890,0.026,0.042,0.042,0.099,0.1,0.069,0.3402194678783417,0.742520272731781,,False,1.0
0,0.001,0,4,3,1,2,111,1700,0.031,0.047,0.048,0.112,0.096,0.075,0.3417151868343353,0.7415265440940857,,False,1.0
0,0.001,0,5,3,1,2,111,2240,0.025,0.042,0.044,0.094,0.099,0.071,0.3403747379779815,0.7423896789550781,,False,1.0
0,0.001,0,1,3,1,9,111,1500,0.025,0.047,0.044,0.096,0.089,0.073,0.2864488363265991,0.7384012341499329,,False,1.0
0,0.001,0,2,3,1,9,111,2650,0.029,0.048,0.041,0.11,0.109,0.069,0.280173659324646,0.781061589717865,,False,1.0
0,0.001,0,3,3,1,9,111,2380,0.026,0.041,0.045,0.099,0.096,0.067,0.2802700996398926,0.7831869721412659,,False,1.0
0,0.001,0,4,3,1,9,111,1670,0.031,0.046,0.049,0.114,0.095,0.076,0.2806950509548187,0.7833366394042969,,False,1.0
0,0.001,0,5,3,1,9,111,1730,0.025,0.043,0.043,0.093,0.098,0.068,0.2796159386634826,0.7827457785606384,,False,1.0
0,0.001,0,1,3,2,2,207,1620,0.028,0.054,0.043,0.105,0.101,0.067,0.3652612864971161,0.7748869061470032,,False,1.0
0,0.001,0,2,3,2,2,207,2890,0.025,0.066,0.051,0.091,0.108,0.078,0.3640985786914825,0.7802289724349976,,False,1.0
0,0.001,0,3,3,2,2,207,2710,0.027,0.066,0.037,0.095,0.119,0.074,0.36257204413414,0.7821627855300903,,False,1.0
0,0.001,0,4,3,2,2,207,1590,0.027,0.058,0.041,0.099,0.098,0.067,0.3646931946277618,0.7761468291282654,,False,1.0
0,0.001,0,5,3,2,2,207,2730,0.025,0.055,0.035,0.092,0.092,0.074,0.3644030094146728,0.7804282903671265,,False,1.0
0,0.001,0,1,3,2,9,207,1960,0.027,0.062,0.045,0.101,0.103,0.071,0.2862884700298309,0.802720308303833,,False,1.0
0,0.001,0,2,3,2,9,207,2790,0.025,0.066,0.05,0.091,0.104,0.076,0.286483883857727,0.8026180863380432,,False,1.0
0,0.001,0,3,3,2,9,207,1520,0.027,0.067,0.043,0.098,0.108,0.07,0.286104142665863,0.8007848262786865,,False,1.0
0,0.001,0,4,3,2,9,207,2980,0.026,0.057,0.044,0.095,0.106,0.071,0.2859137058258056,0.8035593628883362,,False,1.0
0,0.001,0,5,3,2,9,207,2790,0.028,0.067,0.045,0.1,0.103,0.075,0.2875798940658569,0.8059642910957336,,False,1.0
0,0.001,0,1,5,1,2,215,1500,0.024,0.045,0.038,0.089,0.091,0.068,0.3650664985179901,0.7792872786521912,,False,1.0
0,0.001,0,2,5,1,2,215,2920,0.024,0.045,0.046,0.095,0.096,0.074,0.3678504526615143,0.7778977155685425,,False,1.0
0,0.001,0,3,5,1,2,215,2720,0.028,0.047,0.038,0.104,0.101,0.065,0.3674401640892029,0.7780213952064514,,False,1.0
0,0.001,0,4,5,1,2,215,2930,0.022,0.063,0.025,0.082,0.105,0.071,0.3687068819999695,0.7768599390983582,,False,1.0
0,0.001,0,5,5,1,2,215,2160,0.021,0.059,0.031,0.082,0.122,0.078,0.3682913482189178,0.7889441847801208,,False,1.0
0,0.001,0,1,5,1,9,215,1500,0.024,0.046,0.038,0.089,0.09,0.067,0.2858341634273529,0.8013380765914917,,False,1.0
0,0.001,0,2,5,1,9,215,2790,0.024,0.046,0.047,0.094,0.094,0.072,0.2880568206310272,0.8005775809288025,,False,1.0
0,0.001,0,3,5,1,9,215,2450,0.029,0.047,0.044,0.107,0.099,0.062,0.2883974611759186,0.7989728450775146,,False,1.0
0,0.001,0,4,5,1,9,215,1510,0.024,0.063,0.027,0.09,0.101,0.062,0.2920320332050323,0.7960066795349121,,False,1.0
0,0.001,0,5,5,1,9,215,1680,0.021,0.061,0.023,0.082,0.12,0.066,0.2912172973155975,0.8067502379417419,,False,1.0
0,0.001,0,1,5,2,2,455,1520,0.029,0.096,0.044,0.09,0.093,0.086,0.3809251487255096,0.8056682348251343,,False,1.0
0,0.001,0,2,5,2,2,455,1750,0.02,0.054,0.04,0.08,0.108,0.081,0.3765830397605896,0.80906081199646,,False,1.0
0,0.001,0,3,5,2,2,455,2380,0.041,0.032,0.051,0.105,0.077,0.071,0.3800686299800873,0.8031750917434692,,False,1.0
0,0.001,0,4,5,2,2,455,2690,0.023,0.055,0.043,0.088,0.094,0.079,0.3786109089851379,0.8031945824623108,,False,1.0
0,0.001,0,5,5,2,2,455,2430,0.019,0.055,0.033,0.075,0.114,0.077,0.3797913491725921,0.8044506311416626,,False,1.0
0,0.001,0,1,5,2,9,455,1500,0.025,0.091,0.057,0.088,0.096,0.088,0.2941022217273712,0.8170925974845886,,False,1.0
0,0.001,0,2,5,2,9,455,1710,0.021,0.055,0.042,0.082,0.109,0.08,0.2864759862422943,0.8198280334472656,,False,1.0
0,0.001,0,3,5,2,9,455,1770,0.029,0.047,0.038,0.105,0.1,0.071,0.2946886718273163,0.8205270767211914,,False,1.0
0,0.001,0,4,5,2,9,455,2940,0.023,0.057,0.043,0.089,0.095,0.076,0.2903123199939728,0.8144993185997009,,False,1.0
0,0.001,0,5,5,2,9,455,1730,0.026,0.061,0.049,0.095,0.094,0.076,0.2926143109798431,0.812315821647644,,False,1.0
0,0.001,0,1,3,1,2,111,2910,0.023,0.092,0.066,0.085,0.078,0.104,0.3926368653774261,0.7635211944580078,,False,0.1
0,0.001,0,2,3,1,2,111,1600,0.029,0.046,0.046,0.106,0.098,0.072,0.3881464302539825,0.7958738207817078,,False,0.1
0,0.001,0,3,3,1,2,111,2390,0.028,0.046,0.053,0.099,0.095,0.074,0.3850995004177093,0.8107910752296448,,False,0.1
0,0.001,0,4,3,1,2,111,1560,0.024,0.04,0.027,0.089,0.093,0.076,0.3878473937511444,0.8131552338600159,,False,0.1
0,0.001,0,5,3,1,2,111,2760,0.027,0.048,0.038,0.098,0.101,0.069,0.3852962255477905,0.7979682683944702,,False,0.1
0,0.001,0,1,3,1,9,111,2960,0.023,0.093,0.065,0.082,0.09,0.105,0.2989538311958313,0.7762588262557983,,False,0.1
0,0.001,0,2,3,1,9,111,1530,0.029,0.049,0.039,0.106,0.101,0.075,0.2943955063819885,0.8038122057914734,,False,0.1
0,0.001,0,3,3,1,9,111,1800,0.027,0.051,0.052,0.099,0.085,0.072,0.2919365763664245,0.8075948357582092,,False,0.1
0,0.001,0,4,3,1,9,111,2250,0.023,0.043,0.026,0.087,0.095,0.075,0.2947593331336975,0.8191269636154175,,False,0.1
0,0.001,0,5,3,1,9,111,2330,0.026,0.049,0.042,0.095,0.097,0.065,0.2895307838916778,0.8136842846870422,,False,0.1
0,0.001,0,1,3,2,2,207,2220,0.026,0.05,0.053,0.099,0.081,0.066,0.3873763680458069,0.8054312467575073,,False,0.1
0,0.001,0,2,3,2,2,207,2990,0.018,0.034,0.059,0.067,0.076,0.09,0.3890347480773926,0.8137147426605225,,False,0.1
0,0.001,0,3,3,2,2,207,2990,0.029,0.1,0.025,0.092,0.139,0.069,0.3895920515060425,0.8205901384353638,,False,0.1
0,0.001,0,4,3,2,2,207,2660,0.025,0.055,0.034,0.089,0.092,0.069,0.3873768448829651,0.8184829354286194,,False,0.1
0,0.001,0,5,3,2,2,207,2180,0.026,0.063,0.03,0.093,0.103,0.067,0.3899150192737579,0.8208774924278259,,False,0.1
0,0.001,0,1,3,2,9,207,2750,0.025,0.057,0.05,0.097,0.089,0.069,0.2918298244476318,0.8182567954063416,,False,0.1
0,0.001,0,2,3,2,9,207,1500,0.028,0.048,0.061,0.103,0.093,0.081,0.2953647971153259,0.8270553350448608,,False,0.1
0,0.001,0,3,3,2,9,207,1540,0.024,0.069,0.048,0.084,0.09,0.081,0.2895598709583282,0.8236714601516724,,False,0.1
0,0.001,0,4,3,2,9,207,2860,0.023,0.049,0.032,0.085,0.091,0.068,0.2902087271213531,0.820605456829071,,False,0.1
0,0.001,0,5,3,2,9,207,1690,0.026,0.052,0.041,0.096,0.098,0.067,0.2924218773841858,0.8240388035774231,,False,0.1
0,0.001,0,1,5,1,2,215,1500,0.024,0.043,0.033,0.088,0.095,0.074,0.3813557624816894,0.8230013251304626,,False,0.1
0,0.001,0,2,5,1,2,215,2630,0.019,0.064,0.029,0.08,0.103,0.081,0.3843744993209839,0.8133196234703064,,False,0.1
0,0.001,0,3,5,1,2,215,2940,0.027,0.053,0.028,0.096,0.104,0.065,0.3874918222427368,0.8199294209480286,,False,0.1
0,0.001,0,4,5,1,2,215,1810,0.023,0.054,0.04,0.087,0.104,0.074,0.3893014192581177,0.8180493116378784,,False,0.1
0,0.001,0,5,5,1,2,215,2860,0.027,0.043,0.026,0.098,0.095,0.076,0.383989155292511,0.825513482093811,,False,0.1
0,0.001,0,1,5,1,9,215,1500,0.024,0.054,0.018,0.083,0.099,0.065,0.2906681299209595,0.8233364820480347,,False,0.1
0,0.001,0,2,5,1,9,215,2870,0.025,0.068,0.045,0.09,0.092,0.073,0.2927461564540863,0.8245898485183716,,False,0.1
0,0.001,0,3,5,1,9,215,1520,0.026,0.061,0.031,0.091,0.099,0.069,0.2893716692924499,0.826640248298645,,False,0.1
0,0.001,0,4,5,1,9,215,2990,0.021,0.036,0.021,0.072,0.088,0.073,0.2975165247917175,0.8184688687324524,,False,0.1
0,0.001,0,5,5,1,9,215,1780,0.027,0.041,0.035,0.092,0.082,0.073,0.2893088459968567,0.8260790705680847,,False,0.1
0,0.001,0,1,5,2,2,455,2950,0.019,0.048,0.027,0.068,0.092,0.093,0.3873417377471924,0.8367475271224976,,False,0.1
0,0.001,0,2,5,2,2,455,1890,0.019,0.062,0.04,0.076,0.106,0.085,0.3861166834831238,0.8292816877365112,,False,0.1
0,0.001,0,3,5,2,2,455,2930,0.015,0.069,0.025,0.061,0.088,0.079,0.3899224996566772,0.828329861164093,,False,0.1
0,0.001,0,4,5,2,2,455,1990,0.021,0.057,0.037,0.084,0.084,0.091,0.3867818713188171,0.8251626491546631,,False,0.1
0,0.001,0,5,5,2,2,455,1510,0.023,0.06,0.049,0.087,0.088,0.088,0.3872979879379272,0.8227257132530212,,False,0.1
0,0.001,0,1,5,2,9,455,2780,0.021,0.093,0.058,0.078,0.086,0.105,0.2985900342464447,0.8299214243888855,,False,0.1
0,0.001,0,2,5,2,9,455,1520,0.019,0.065,0.035,0.075,0.105,0.083,0.2898917496204376,0.8303046822547913,,False,0.1
0,0.001,0,3,5,2,9,455,1720,0.018,0.072,0.066,0.071,0.11,0.104,0.2975277006626129,0.8317845463752747,,False,0.1
0,0.001,0,4,5,2,9,455,1630,0.022,0.058,0.04,0.085,0.082,0.087,0.2894056141376495,0.8259239196777344,,False,0.1
0,0.001,0,5,5,2,9,455,1620,0.022,0.062,0.048,0.085,0.085,0.084,0.29118087887763977,0.8241752982139587,,False,0.1
