,genotype,rmse
0,,
1,106,0.031233027412883904
2,122,0.02438133663490922
3,133,0.027898887885588357
4,17,0.027089790021542423
5,218,0.021841726397091234
6,254,0.022070555565123134
7,282,0.02473349875684218
8,294,0.027117089201229135
9,2,0.03195335940532164
10,301,0.027810950418385404
11,302,0.029657383805873995
12,30,0.02398668053052102
13,335,0.023986211262003836
14,339,0.020067051487530588
15,33,0.024277559978965198
16,341,0.02471395102804992
17,362,0.029861601204033562
18,5,0.025893453462094703
19,6,0.03406460588283504
