,genotype,validation_rMSE,train_rMSE,test_rMSE,train_std,test_std,validation_std,validation_shapDTW,train_shapDTW,test_shapDTW,dtw_std_train,dtw_std_val,dtw_std_test,predicted_r,predicted_y_max
33,33,0.06051943209949055,0.04917567023302463,0.1431874953571432,3.791092527268546e-09,8.814900360984215e-08,1.3168330141383095e-07,0.14997872330318113,0.14776819094801882,0.12678859841614054,3.9881645743184925e-07,4.262991316475429e-07,3.8423419175018315e-07,0.10661622140730939,0.9143627440281514
106,106,0.08378979791485411,0.05047646128595964,0.14636452774852382,3.387203234304583e-09,7.75428406323215e-08,1.0074306625953833e-07,0.18904561938273642,0.17212612713397052,0.12786707576507297,4.0398100246110857e-08,3.7612739667476555e-07,6.391804984388878e-08,0.10667256368516848,0.9340581279407022
122,122,0.05754770753242104,0.03895113844523962,0.08363439474611761,2.6195208376747594e-09,4.902353262549997e-08,5.5384792312147995e-08,0.1304190056548943,0.11817135789523461,0.09337077176782964,2.2974849058360786e-08,1.6101124238504282e-07,1.0053592922140136e-07,0.1074906821218819,0.705290276829657
133,133,0.05388242352865754,0.04962932782657252,0.10037032534032617,1.301099558764054e-09,5.514216562204109e-08,4.88924074045517e-08,0.09951063778312219,0.15176308165292857,0.10754919908301327,2.2558226392175813e-08,1.2518568114916504e-07,2.0058169145041552e-07,0.10538160355539654,0.7835022566535974
5,5,0.0538924212975118,0.04453970118853988,0.10831412444870744,7.794812390063524e-10,1.8113619438376234e-08,1.7411100427311994e-08,0.10989808880397925,0.1355149680737046,0.11662384283546996,1.9524413882089132e-08,3.522804874387973e-08,3.669912543742065e-08,0.10807845960431947,0.8166695444330423
30,30,0.030506746491237663,0.04768612839004037,0.1060608097458277,7.48902380947389e-09,5.808599142689327e-08,2.9355410092021506e-08,0.09891737390257319,0.15297222685110368,0.14552436163185628,1.3421071050082148e-07,2.620605451460283e-07,4.315714313845999e-07,0.11227520963950546,0.8221133788051814
218,218,0.04321118290149657,0.038881739891336364,0.10057872071538003,1.1306483926520518e-09,3.575676026501964e-08,5.344823325000342e-08,0.07371609423884828,0.1241527216101154,0.08358172488575319,1.0523556940604463e-07,1.2598329002690716e-07,1.4539989055176694e-08,0.10856666008390381,0.7373965476843296
2,2,0.09537687107098537,0.05317544654648724,0.10946406420053074,8.129559456286526e-09,8.309296077941209e-08,7.47125472950643e-08,0.2337176723319792,0.18874013991976843,0.22198382780811543,6.55059524235378e-08,1.3578248441226954e-07,1.305343803456378e-07,0.10639176149992363,0.8391827666565388
17,17,0.11787569793147559,0.04192725284464209,0.06921803613412811,3.821066604262998e-06,6.039085055005672e-06,4.889378406176334e-07,0.14217937063953476,0.1385295003493694,0.17405841678026673,8.110615586258542e-05,0.00015744760504691525,3.962620581685307e-05,0.1032941611334988,0.8927300527742366
254,254,0.055646851337151595,0.039573765625415584,0.08051741081257399,1.9116841773405467e-09,4.290333693314711e-08,4.4208544474001155e-08,0.11148790716794418,0.11472069469345321,0.09392597416566639,3.7013910200160815e-08,4.9026391367160064e-08,1.918949003108198e-08,0.10383266418745134,0.7315181276220899
282,282,0.10175728598517435,0.04004502954156384,0.14035615414401578,4.245132571195318e-06,5.146310725988077e-05,9.238586848603933e-05,0.22398058729011053,0.14480097563185926,0.10464405879345333,6.835569661088033e-05,0.0006301224048767986,0.0003426306396329874,0.10697660261069866,0.884027331274905
294,294,0.07285572403417381,0.04341170892635183,0.1542419290368861,1.6703691866294847e-09,3.8223137524510606e-08,5.069713516823575e-08,0.15803897346957135,0.14285028164976352,0.14421076091164897,4.440959384245533e-08,1.3427205857963645e-08,5.1891237875370776e-08,0.10497508718670523,0.9584456921643792
301,301,0.08238225239656491,0.044572013959187126,0.10956601709801875,5.032185893644757e-09,8.79949926449942e-08,2.035057209561986e-08,0.16743743843871212,0.15066088935587105,0.17490891782876875,4.779518588497371e-07,6.669998300950765e-07,5.666184139242014e-07,0.10481678826271199,0.95392645599541
302,302,0.08405313983201805,0.04833566946611044,0.12204306893473205,1.3916488506321361e-05,2.6070777982261837e-05,3.83174942038785e-05,0.18169118298137366,0.1460682490279918,0.1271150725401196,8.068692103014437e-06,0.00012204560342093242,0.00011775765252635823,0.10156294064325662,0.9181858693721225
335,335,0.0367382671064047,0.04990656407064886,0.09874954529809091,5.527790536158544e-09,7.69628429097807e-08,8.593198004520312e-08,0.07460918390547198,0.14418363573764287,0.1246177773453154,2.5479395988315084e-07,1.6881739281354337e-07,3.3090506954280317e-07,0.1046243654321167,0.7321184656919912
339,339,0.0645208073014257,0.029826232081441428,0.06967654472722677,1.0520112933637737e-08,6.042953135139274e-08,9.075468482726819e-08,0.09609941614802922,0.10274719674875502,0.0914262649374268,2.0739153035034283e-07,1.7099907717827248e-07,4.099798389536174e-07,0.10240197737485737,0.7312487006827597
341,341,0.04935052205253533,0.03747649955664485,0.1029011101991812,7.907332553120826e-10,1.9081893327961073e-08,9.631626019014441e-08,0.09823627189239219,0.12075035119821997,0.10963047016177856,1.1540212307332136e-07,3.4711827037064147e-07,3.201512912869805e-07,0.10403643953294794,0.7269817046198579
6,6,0.11477871251760932,0.05481586692869282,0.12124819260816358,4.01539039663909e-09,7.288965958531967e-08,8.012827579297851e-08,0.29693463650657803,0.19305073002644998,0.24804732050457826,3.2819936761739375e-08,1.6136540438926275e-07,1.77375459895272e-07,0.10821133161492022,0.9154015163674627
362,362,0.07727331388564891,0.04933715147285447,0.15081969055852398,1.3541417417271251e-09,3.1232893571465497e-08,3.3745884425161676e-08,0.16089666229442878,0.1652417889808694,0.13656238487250322,2.336031186345462e-08,8.319439092197353e-08,2.075613916417774e-08,0.1056989220674637,0.9754099549519013
