,genotype,random_sees,validation_rMSE,train_rMSE,test_rMSE,validation_shapDTW,train_shapDTW,test_shapDTW,predicted_r,predicted_y_max
33,33,1,0.06051948338982548,0.04917566997344188,0.14318747469514045,0.14997900834779468,0.14776842800370638,0.12678886248997284,0.10661622304891485,0.9143626444104416
33,33,2,0.06051917525673332,0.049175676658209364,0.14318766220236576,0.1499778785468716,0.14776739604637737,0.1267878377031883,0.10661620715883839,0.9143636201905699
33,33,3,0.060519509259421796,0.04917567161807601,0.1431874315659648,0.14997885142631184,0.14776835935226412,0.12678870581679852,0.10661621108720559,0.9143627974968771
33,33,4,0.0605195404974786,0.04917566666624089,0.14318741464246326,0.149978985147505,0.1477684245044428,0.12678882819354576,0.10661621370713587,0.9143626806744165
33,33,5,0.06051945209399362,0.049175666249155016,0.14318749367978176,0.14997889304742248,0.14776834683330353,0.1267887578771974,0.10661622140730939,0.9143627440281514
106,106,1,0.08378986625532385,0.05047645774716181,0.1463644783816169,0.1890459235926339,0.17212614345913213,0.12786713740279682,0.10667256843769654,0.9340580148683502
106,106,2,0.08378983320246383,0.050476461162778034,0.14636450099335002,0.1890457567442235,0.1721260968018487,0.12786710003750912,0.10667256599383565,0.9340581447467485
106,106,3,0.08378983241614554,0.05047646117047577,0.1463645012462628,0.18904574832976412,0.1721260844805072,0.12786709744771257,0.10667256574704645,0.9340581517200435
106,106,4,0.08378959827453708,0.05047646751517018,0.14636468139173164,0.18904487773866668,0.17212619758878478,0.1278669520366233,0.10667256181629842,0.9340587995289231
106,106,5,0.08378985942580028,0.050476458834212416,0.14636447672965777,0.18904579050839396,0.17212611333957975,0.127867091900723,0.10667256368516848,0.9340581279407022
122,122,1,0.057547720299167576,0.03895113481194118,0.08363435246894131,0.13041893638141652,0.11817139951259548,0.09337089320650742,0.10749069697988459,0.7052900101482438
122,122,2,0.0575476615140123,0.0389511403967933,0.08363444037371295,0.13041891596765207,0.11817133348458535,0.09337076767012809,0.10749070769689717,0.7052900978211726
122,122,3,0.0575477136282184,0.03895113671301892,0.08363436889088036,0.1304189545604458,0.1181713562043507,0.093370852773267,0.10749069818162213,0.7052900420410388
122,122,4,0.057547641577928986,0.03895113809408495,0.08363446610497373,0.13041889608022425,0.11817135983537157,0.09337074166231041,0.10749071133460843,0.7052901136737053
122,122,5,0.05754780064277798,0.03895114221035975,0.08363434589207967,0.13041932528473293,0.11817134043926991,0.09337060352693528,0.1074906821218819,0.705290276829657
133,133,1,0.053882334484992356,0.049629325652618225,0.10037039707963627,0.0995106269303746,0.1517631173459093,0.1075491025958101,0.10538163455834731,0.7835018166863772
133,133,2,0.0538824202718767,0.04962932805327563,0.10037031407881045,0.09951069378478898,0.1517630939394074,0.10754910147746864,0.10538162118668204,0.7835018193120398
133,133,3,0.05388247262761027,0.04962932903478412,0.10037026429375279,0.09951073103954176,0.15176305076056396,0.1075491067061778,0.10538161282328198,0.7835018261016937
133,133,4,0.053882463419632556,0.049629329184516235,0.10037026993317266,0.09951073714576109,0.1517630761995958,0.10754908467215568,0.10538161499795339,0.7835018063941293
133,133,5,0.053882426839175816,0.04962932720766838,0.10037038131625864,0.09951040001514451,0.1517630700191663,0.10754959996345423,0.10538160355539654,0.7835022566535974
5,5,1,0.05389239566812902,0.0445396998511974,0.10831415104968044,0.10989813485178666,0.13551499797728467,0.11662389621725217,0.10807847143104536,0.8166694427817387
5,5,2,0.053892430924390146,0.04453970109392846,0.10831411440490342,0.10989810442157981,0.13551495529563715,0.1166238563345032,0.10807846324445049,0.8166694955169154
5,5,3,0.05389240541183795,0.04453970181582968,0.1083141410659375,0.10989803505311019,0.13551498316902535,0.11662379203894115,0.10807846436579338,0.816669556379235
5,5,4,0.05389243559730017,0.04453970107936232,0.10831410953834635,0.10989810629771431,0.13551495908897476,0.11662385707169051,0.10807846246893593,0.8166694961034437
5,5,5,0.05389243888590175,0.04453970210238152,0.10831410618466956,0.10989806339570529,0.13551494483760124,0.1166238125149628,0.10807845960431947,0.8166695444330423
30,30,1,0.030506748774897546,0.04768612809659181,0.10606077900579315,0.0989172604671251,0.15297216037906983,0.14552416425241113,0.11227516549596432,0.8221141137746076
30,30,2,0.030506766838909093,0.04768612809942969,0.10606076225390176,0.09891729869650134,0.15297217114087538,0.14552420449566122,0.11227516374368163,0.8221140870976418
30,30,3,0.030506689983438928,0.0476861179392431,0.10606082446297957,0.09891709857091578,0.15297210931545113,0.1455239691331574,0.11227516840070045,0.8221142461036111
30,30,4,0.030506771256310863,0.04768612648609314,0.10606076588637138,0.09891733998314814,0.15297220530029418,0.14552426901209425,0.11227516571280308,0.8221140417860863
30,30,5,0.03050675560263189,0.047686141328844134,0.10606091712009268,0.09891787179517558,0.15297248811982786,0.14552520126595744,0.11227520963950546,0.8221133788051814
218,218,1,0.04321109831234827,0.038881737665869345,0.10057874274386146,0.07371585159241736,0.12415293104575681,0.08358172345925276,0.10856669136757127,0.7373962041926247
218,218,2,0.04321121670075049,0.038881740559091944,0.10057870466305942,0.07371617373365186,0.12415266161024045,0.0835817294189773,0.10856666545970994,0.7373965502781141
218,218,3,0.043211148267772906,0.03888174055400963,0.1005787754438447,0.07371610495721405,0.12415266438518657,0.08358169932054373,0.10856667677609161,0.7373965508629134
218,218,4,0.04321120176207364,0.03888174006177652,0.1005787105133515,0.07371613560293536,0.1241526893473964,0.08358172809316163,0.10856666864869209,0.7373965109102815
218,218,5,0.04321124946453759,0.03888174061593437,0.10057867021278306,0.07371620530802282,0.12415266166199668,0.08358174413683057,0.10856666008390381,0.7373965476843296
2,2,1,0.09537688410642706,0.053175452487741554,0.10946401952089693,0.23371757292362993,0.1887400927688367,0.2219837246262801,0.1063917450511424,0.8391830343749047
2,2,2,0.09537691333868174,0.05317544441336072,0.10946403847280155,0.2337177332504347,0.18874016913642078,0.22198386142173096,0.10639174857649486,0.8391829176837391
2,2,3,0.09537672656822298,0.05317543226089415,0.10946419387907601,0.23371759827621502,0.18874013684783653,0.22198384181099512,0.10639177288968507,0.8391829510441948
2,2,4,0.095376939058913,0.053175447808214475,0.1094639530451466,0.23371754588395754,0.1887400551646496,0.22198366627633573,0.10639173438589916,0.8391830780097382
2,2,5,0.0953768922826821,0.05317545576222528,0.1094641160847326,0.23371791132565872,0.1887402456810985,0.22198404490523535,0.10639176149992363,0.8391827666565388
17,17,1,0.11787590955561536,0.041929155809141624,0.0692150381959308,0.14225812661907958,0.13857007091707174,0.17407823374126666,0.10329416514686357,0.892729983545671
17,17,2,0.11787472105693905,0.04191961072374055,0.06923011426569686,0.14186447543318562,0.13836728804244972,0.17397916436968555,0.10328133142812651,0.8932013096310076
17,17,3,0.11787595957952794,0.04192916095828836,0.0692150054421996,0.1422580659281395,0.1385700220875501,0.17407822486911356,0.10329415733264208,0.89273005758427
17,17,4,0.11787597169920608,0.041929176183486426,0.06921499528276055,0.14225811598406152,0.13857007715551675,0.17407823962155858,0.1032941575828403,0.89272999794888
17,17,5,0.11787592776608942,0.0419291605485535,0.06921502748405275,0.14225806923320766,0.13857004354425867,0.17407822129970932,0.1032941611334988,0.8927300527742366
254,254,1,0.05564683414532483,0.039573763134176335,0.08051742506569298,0.11148797908467656,0.11472076640720884,0.09392596943793748,0.10383267999864662,0.7315179842427596
254,254,2,0.05564677356349718,0.03957376387998288,0.08051748747302416,0.11148783019031815,0.11472066628322516,0.09392593914520232,0.1038326819803141,0.7315181334238957
254,254,3,0.05564689477853539,0.039573767178467265,0.08051736903516363,0.11148791575239651,0.11472067376162971,0.09392599256124126,0.10383266474588412,0.7315180939370853
254,254,4,0.05564686677552202,0.03957376574105376,0.08051739549037235,0.11148792590571839,0.11472069379730801,0.09392598123406833,0.10383267059623276,0.7315180665665031
254,254,5,0.05564688742287851,0.03957376819339766,0.08051737699861683,0.11148788490661128,0.11472067321789439,0.09392598844988262,0.10383266418745134,0.7315181276220899
282,282,1,0.10171110762783907,0.04004715133745228,0.140381875634789,0.22366559953539641,0.14483514811072895,0.10447277901653822,0.10694756908756353,0.8850992591454363
