,data_loss,physic_loss,
0,0.240546882,6.36E-05,3.577970351
1,0.24040699,6.58E-05,3.562954274
2,0.240272626,6.72E-05,3.553276186
3,0.240144417,6.94E-05,3.539150879
4,0.230719283,0.000614518,2.574549156
5,0.221475899,0.001637158,2.131235821
6,0.210021883,0.003532653,1.774163542
7,0.197602794,0.006288759,1.4972281
8,0.184869111,0.009753559,1.277701246
9,0.172222942,0.013686765,1.099790194
10,0.159928381,0.017807126,0.953331709
11,0.148159578,0.021829307,0.831689783
12,0.137027323,0.025489602,0.730444116
13,0.126597419,0.028561266,0.646647397
14,0.116905004,0.030861609,0.57841454
15,0.107966475,0.032253675,0.524709715
16,0.099789292,0.032645792,0.485256734
17,0.092379108,0.031991467,0.460539611
18,0.085744731,0.030291801,0.451882343
19,0.079900488,0.027600886,0.461626405
20,0.074866295,0.024034105,0.493458382
21,0.070665509,0.019778194,0.553020858
22,0.067320608,0.015100805,0.649147925
23,0.064846665,0.01035669,0.796666675
24,0.063242361,0.005985934,1.023876163
25,0.062477846,0.002495742,1.398526369
26,0.062478814,0.000406254,2.186935258
27,0.063106753,0.000115114,2.738947763
28,0.064141721,0.001617675,1.598249314
29,0.065292045,0.004174022,1.194305492
30,0.066265412,0.006474099,1.010107587
31,0.066867858,0.007513704,0.949363316
32,0.067040846,0.00712328,0.973659449
33,0.066830188,0.005734157,1.066503117
34,0.066337444,0.003954301,1.224688995
35,0.065680563,0.002288997,1.457791658
36,0.064968131,0.001034681,1.797893859
37,0.064285345,0.000288315,2.348244698
38,0.063688971,9.09E-06,3.845640104
39,0.063208438,8.69E-05,2.861756887
40,0.062850788,0.000394403,2.20237058
41,0.062606983,0.000817182,1.884304164
42,0.062458374,0.001266263,1.693066888
43,0.06238205,0.001679679,1.569833221
44,0.062354982,0.002018861,1.489764838
45,0.062356703,0.002263432,1.440115756
46,0.062370863,0.002406246,1.413641806
47,0.062385865,0.002449387,1.406028792
48,0.062394779,0.002401147,1.414729496
49,0.062394772,0.002273935,1.438370219
50,0.062386353,0.002082777,1.476446827
51,0.062372405,0.001844233,1.52917667
52,0.062357113,0.001575546,1.597454785
53,0.062345076,0.001293876,1.682909629
54,0.062340435,0.001015531,1.788076584
55,0.062346239,0.000755177,1.916761305
56,0.062363911,0.000525014,2.074762261
57,0.062393103,0.000334012,2.271374095
58,0.062431682,0.000187287,2.522898503
59,0.062476031,8.58E-05,2.862449395
60,0.06252151,2.62E-05,3.377467592
61,0.062563114,1.89E-06,4.518972798
62,0.062596135,3.51E-06,4.251565185
63,0.062616833,2.07E-05,3.481026405
64,0.06262292,4.35E-05,3.158058457
